token_id,count,mean,p05,p10,p15,p25,p50,p75,min_conf,max_conf
645,24,0.7867838541666666,0.2951171875,0.4041015625,0.5318359374999999,0.65234375,0.853515625,1.0,0.26171875,1.0
13876,24,0.9306640625,0.61171875,0.663671875,0.8435546875,1.0,1.0,1.0,0.39453125,1.0
14002,24,0.857421875,0.5181640625,0.66796875,0.784375,0.80078125,0.955078125,0.96875,0.34765625,1.0
56658,24,0.8727213541666666,0.56875,0.603125,0.6787109375,0.7421875,0.96484375,1.0,0.44921875,1.0
348,24,0.9077962239583334,0.38222656250000003,0.5398437500000001,0.77421875,1.0,1.0,1.0,0.330078125,1.0
15279,24,0.6039225260416666,0.32900390625,0.33515625,0.33876953125,0.34912109375,0.3779296875,0.970703125,0.32421875,1.0
1008,24,0.8209635416666666,0.539453125,0.596484375,0.6439453125,0.7119140625,0.8515625,0.96875,0.50390625,1.0
40817,24,0.4278157552083333,0.3658203125,0.3720703125,0.3859375,0.4091796875,0.4306640625,0.451171875,0.365234375,0.478515625
3868,24,0.94189453125,0.6595703125,0.804296875,0.875,0.955078125,1.0,1.0,0.578125,1.0
3937,24,0.8863932291666666,0.5591796875,0.60703125,0.7390625,0.8310546875,0.96484375,1.0,0.53125,1.0
14024,24,0.9508463541666666,0.6158203125,0.880859375,0.9650390625,1.0,1.0,1.0,0.4609375,1.0
17899,24,0.8631184895833334,0.486328125,0.591796875,0.6476562499999999,0.8046875,0.958984375,1.0,0.296875,1.0
97397,24,0.853515625,0.37529296875,0.46171875000000007,0.5978515625,0.8232421875,1.0,1.0,0.318359375,1.0
17163,24,0.9464518229166666,0.70234375,0.7996093750000001,0.9388671875,0.9521484375,1.0,1.0,0.578125,1.0
340,23,0.9113451086956522,0.638671875,0.8109375,0.868359375,0.890625,0.94140625,1.0,0.62109375,1.0
33,23,0.7426970108695652,0.28125,0.298828125,0.4271484375,0.6171875,0.75390625,1.0,0.271484375,1.0
11936,23,0.979110054347826,0.955078125,0.978125,1.0,1.0,1.0,1.0,0.59375,1.0
4401,23,0.8508831521739131,0.3392578125,0.37812500000000004,0.53359375,0.830078125,0.984375,1.0,0.298828125,1.0
20972,23,0.9247622282608695,0.6625,0.7296875,0.79453125,0.916015625,1.0,1.0,0.5546875,1.0
60641,23,0.9239979619565217,0.672265625,0.8515625,0.8515625,0.8671875,1.0,1.0,0.494140625,1.0
36342,23,0.6671195652173914,0.4931640625,0.54140625,0.6359375,0.654296875,0.6796875,0.703125,0.486328125,0.765625
15904,23,0.974014945652174,0.88984375,0.9546875,0.964453125,0.990234375,1.0,1.0,0.65234375,1.0
30696,23,0.7567934782608695,0.43203125,0.474609375,0.49140625,0.607421875,0.81640625,0.919921875,0.42578125,1.0
582,23,0.854874320652174,0.4873046875,0.56640625,0.5921875,0.7578125,0.93359375,1.0,0.41796875,1.0
